InstitutionName,DegreeInstitutionName,TaxonomyLevel,TaxonomyValue,TotalFaculty,FemaleFaculty,MaleFaculty
Arizona State University,Arizona State University,Field,Urban and Regional Planning,2,1,1
Cleveland State University,Carnegie Mellon University,Field,Urban and Regional Planning,2,1,1
Cleveland State University,Cleveland State University,Field,Urban and Regional Planning,3,2,1
Columbia University,Columbia University,Field,Urban and Regional Planning,3,1,2
Massachusetts Institute of Technology,Columbia University,Field,Urban and Regional Planning,4,2,2
University of Michigan,Columbia University,Field,Urban and Regional Planning,3,1,2
"University of New Mexico, The",Columbia University,Field,Urban and Regional Planning,3,1,1
Cornell University,Cornell University,Field,Urban and Regional Planning,4,1,3
"University at Buffalo, State University of New York",Cornell University,Field,Urban and Regional Planning,2,1,1
"University of Cincinnati, The",Cornell University,Field,Urban and Regional Planning,4,2,2
University of Wisconsin - Madison,Cornell University,Field,Urban and Regional Planning,3,1,2
"University of Kansas, The",Georgia Institute of Technology,Field,Urban and Regional Planning,5,2,2
Massachusetts Institute of Technology,Harvard University,Field,Urban and Regional Planning,7,2,5
Rutgers - New Brunswick,Harvard University,Field,Urban and Regional Planning,5,1,4
University of Michigan,Harvard University,Field,Urban and Regional Planning,10,5,4
"University of New Mexico, The",Harvard University,Field,Urban and Regional Planning,4,2,2
Cleveland State University,Indiana University - Bloomington,Field,Urban and Regional Planning,2,1,1
Kansas State University,Kansas State University,Field,Urban and Regional Planning,2,1,1
Southern University and A&M College,Louisiana State University,Field,Urban and Regional Planning,6,3,3
Columbia University,Massachusetts Institute of Technology,Field,Urban and Regional Planning,2,1,1
Cornell University,Massachusetts Institute of Technology,Field,Urban and Regional Planning,2,1,1
Massachusetts Institute of Technology,Massachusetts Institute of Technology,Field,Urban and Regional Planning,13,2,10
Rutgers - New Brunswick,Massachusetts Institute of Technology,Field,Urban and Regional Planning,4,1,3
Tufts University,Massachusetts Institute of Technology,Field,Urban and Regional Planning,3,1,1
"University of California, Los Angeles",Massachusetts Institute of Technology,Field,Urban and Regional Planning,6,1,5
University of Hawaii,Massachusetts Institute of Technology,Field,Urban and Regional Planning,2,1,1
University of Washington,Massachusetts Institute of Technology,Field,Urban and Regional Planning,2,1,1
Michigan State University,Michigan State University,Field,Urban and Regional Planning,11,4,6
University of Illinois at Urbana-Champaign,"Pennsylvania State University, The",Field,Urban and Regional Planning,2,1,1
Columbia University,Princeton University,Field,Urban and Regional Planning,4,3,1
Rutgers - New Brunswick,Princeton University,Field,Urban and Regional Planning,2,1,1
"University of Maryland, College Park",Princeton University,Field,Urban and Regional Planning,2,1,1
University of Michigan,Princeton University,Field,Urban and Regional Planning,8,5,2
University of Louisiana at Lafayette,Rice University,Field,Urban and Regional Planning,4,1,2
University of Michigan,Rice University,Field,Urban and Regional Planning,2,1,1
Columbia University,Rutgers - New Brunswick,Field,Urban and Regional Planning,3,2,1
Rutgers - New Brunswick,Rutgers - New Brunswick,Field,Urban and Regional Planning,8,2,5
"University at Albany, State University of New York",Rutgers - New Brunswick,Field,Urban and Regional Planning,2,1,1
University of Illinois at Chicago,Rutgers - New Brunswick,Field,Urban and Regional Planning,3,1,2
"University of New Orleans, The",Rutgers - New Brunswick,Field,Urban and Regional Planning,2,1,1
Texas A&M University,Texas A&M University,Field,Urban and Regional Planning,5,1,2
"University of Arizona, The","University of Arizona, The",Field,Urban and Regional Planning,6,3,2
Clemson University,"University of California, Berkeley",Field,Urban and Regional Planning,2,1,1
Columbia University,"University of California, Berkeley",Field,Urban and Regional Planning,5,3,1
Cornell University,"University of California, Berkeley",Field,Urban and Regional Planning,4,2,2
Massachusetts Institute of Technology,"University of California, Berkeley",Field,Urban and Regional Planning,2,1,1
Portland State University,"University of California, Berkeley",Field,Urban and Regional Planning,6,3,3
"University of Arizona, The","University of California, Berkeley",Field,Urban and Regional Planning,5,3,2
"University of California, Los Angeles","University of California, Berkeley",Field,Urban and Regional Planning,6,2,4
University of Colorado Boulder,"University of California, Berkeley",Field,Urban and Regional Planning,3,1,2
University of Illinois at Chicago,"University of California, Berkeley",Field,Urban and Regional Planning,2,1,1
University of Illinois at Urbana-Champaign,"University of California, Berkeley",Field,Urban and Regional Planning,3,1,1
