InstitutionId,InstitutionName,TaxonomyLevel,TaxonomyValue,NonAttritionEvents,AttritionEvents,ProductionRank,PrestigeRank,OrdinalPrestigeRank
2.0,Air Force Institute of Technology,Academia,Academia,112.0,60.0,204,0.2166553786505441,316
2.0,Air Force Institute of Technology,Field,Aerospace Engineering,19.0,9.0,29,0.0904764508903223,59
2.0,Air Force Institute of Technology,Field,Computer Engineering,35.0,20.0,46,0.3072805847046362,109
2.0,Air Force Institute of Technology,Field,Electrical Engineering,34.0,19.0,50,0.1711245943354188,156
2.0,Air Force Institute of Technology,Field,Mathematics,14.0,6.0,91,0.1180147470823121,202
2.0,Air Force Institute of Technology,Field,Operations Research,6.0,2.0,49,0.3016053138391653,40
2.0,Air Force Institute of Technology,Field,Statistics,13.0,6.0,60,0.1285940649781869,113
2.0,Air Force Institute of Technology,Field,Systems Engineering,8.0,5.0,44,0.0874841302662785,48
2.0,Air Force Institute of Technology,Domain,Engineering,70.0,38.0,83,0.3075145155061898,180
2.0,Air Force Institute of Technology,Domain,Mathematics and Computing,50.0,26.0,93,0.1764822222103803,211
2.0,Air Force Institute of Technology,Domain,Natural Sciences,28.0,16.0,193,0.1913187019548015,271
3.0,Alabama A&M,Academia,Academia,17.0,5.0,317,0.3033568000762674,262
3.0,Alabama A&M,Field,Physics,8.0,3.0,95,0.1819570671307366,200
3.0,Alabama A&M,Domain,Natural Sciences,10.0,4.0,243,0.2209796608625012,262
5.0,Albert Einstein College of Medicine,Academia,Academia,224.0,74.0,143,0.5849700442338132,71
5.0,Albert Einstein College of Medicine,Field,Anatomy,19.0,4.0,14,0.5565777501439585,9
5.0,Albert Einstein College of Medicine,Field,Biochemistry,19.0,6.0,65,0.7265690426474876,20
5.0,Albert Einstein College of Medicine,Field,Biophysics,5.0,2.0,67,0.6486930586365073,17
5.0,Albert Einstein College of Medicine,Field,Cell Biology,26.0,8.0,30,0.7102026146656727,12
5.0,Albert Einstein College of Medicine,Field,Epidemiology,11.0,4.0,47,0.1918975533799402,59
5.0,Albert Einstein College of Medicine,Field,Genetics,10.0,4.0,22,0.6550176464620932,10
5.0,Albert Einstein College of Medicine,Field,Immunology,17.0,4.0,39,0.7182860239168372,16
5.0,Albert Einstein College of Medicine,Field,Microbiology,18.0,5.0,55,0.6504168762289081,32
5.0,Albert Einstein College of Medicine,Field,Molecular Biology,11.0,5.0,64,0.743536920040478,9
5.0,Albert Einstein College of Medicine,Field,Neuroscience,18.0,4.0,39,0.4864062922673247,42
5.0,Albert Einstein College of Medicine,Field,Pathology,47.0,19.0,15,0.4484627447549386,47
5.0,Albert Einstein College of Medicine,Field,Physiology,11.0,4.0,74,0.7228489649849288,18
5.0,Albert Einstein College of Medicine,Field,Public Health,17.0,9.0,64,0.3033014768108392,81
5.0,Albert Einstein College of Medicine,Domain,Medicine and Health,86.0,27.0,117,0.5019716901078515,107
5.0,Albert Einstein College of Medicine,Domain,Natural Sciences,156.0,51.0,87,0.5914993661980356,63
1.0,Alfred,Academia,Academia,43.0,24.0,262,0.690864903582607,36
6.0,Alfred,Academia,Academia,11.0,3.0,340,0.2885405255351765,273
1.0,Alfred,Field,Nursing,17.0,10.0,69,0.7698557483229055,46
1.0,Alfred,Field,Public Health,1.0,1.0,106,0.1150430774002359,106
6.0,Alfred,Domain,Engineering,9.0,2.0,171,0.3279447862894343,171
1.0,Alfred,Domain,Medicine and Health,27.0,17.0,189,0.6190101686429312,55
7.0,Alliant International,Academia,Academia,66.0,44.0,236,0.2323159336166395,305
7.0,Alliant International,Field,Criminal Justice and Criminology,12.0,11.0,33,0.5023960521667084,23
7.0,Alliant International,Field,Management,7.0,6.0,112,0.2048112333482486,119
7.0,Alliant International,Field,Psychology,43.0,25.0,64,0.2163075614929208,198
7.0,Alliant International,Domain,Applied Sciences,8.0,6.0,169,0.2493553872644513,138
7.0,Alliant International,Domain,Social Sciences,55.0,36.0,117,0.2507401178277099,226
8.0,American,Academia,Academia,167.0,68.0,165,0.4265662792341184,156
8.0,American,Field,Accounting,1.0,1.0,131,0.2172020125984155,97
8.0,American,Field,Anthropology,11.0,3.0,67,0.5367361805503282,66
8.0,American,Field,Biological Sciences,1.0,1.0,247,0.2938342606361181,146
8.0,American,Field,Chemistry,4.0,1.0,153,0.4068689436999064,93
8.0,American,Field,Computer Science,1.0,1.0,200,0.2237914277447243,165
8.0,American,Field,Criminal Justice and Criminology,9.0,3.0,40,0.4381619647169007,26
8.0,American,Field,Curriculum and Instruction,2.0,2.0,146,0.3137982731151245,77
8.0,American,Field,Economics,12.0,4.0,82,0.443479961339266,78
8.0,American,Field,"Exercise Science, Kinesiology, Rehab, Health",2.0,2.0,199,0.2424756623111448,113
8.0,American,Field,History,5.0,1.0,116,0.4437996050491836,93
8.0,American,Field,Information Technology,2.0,2.0,141,0.5155807925236557,30
8.0,American,Field,International Affairs,12.0,4.0,35,0.3797732850565137,29
8.0,American,Field,Management,1.0,1.0,163,0.2640097274236467,106
8.0,American,Field,Physics,6.0,2.0,126,0.3698108127784741,134
8.0,American,Field,Political Science,21.0,5.0,62,0.5350032709062404,63
8.0,American,Field,Psychology,7.0,1.0,169,0.4066879343168406,125
8.0,American,Field,Sociology,13.0,4.0,79,0.5291585489417338,59
8.0,American,Domain,Applied Sciences,6.0,4.0,189,0.2286670612636493,151
8.0,American,Domain,Education,8.0,6.0,165,0.4869709496384167,84
8.0,American,Domain,Humanities,17.0,7.0,155,0.4116729811562556,111
8.0,American,Domain,Mathematics and Computing,6.0,3.0,185,0.274191993363152,155
8.0,American,Domain,Medicine and Health,11.0,7.0,243,0.4227242480293569,140
8.0,American,Domain,Natural Sciences,16.0,8.0,209,0.4341264376786689,137
8.0,American,Domain,Social Sciences,83.0,23.0,91,0.4852823983207954,102
9.0,Andrews,Academia,Academia,51.0,13.0,265,0.2129884816547086,321
